customer_id,age,state,account_type,tenure_months,monthly_transactions,avg_transaction_value_ngn,account_balance_ngn,loan_taken,savings_plan_active,customer_support_calls,app_logins_per_month,referrals_made,churned
NG00027,20,Lagos,Basic,43,26,2479.97,94472.99,0,1,3,41,2,0
NG00028,54,Kaduna,Basic,16,9,7464.75,60397.86,1,0,1,57,4,0
NG00029,24,Abuja,Basic,4,15,11963.44,622.84,0,0,1,81,2,0
NG00030,38,Kano,Basic,37,10,1545.85,12848.37,0,1,4,29,1,0
NG00031,26,Abuja,Basic,21,24,26187.27,10859.21,1,0,9,24,0,1
NG00032,35,Delta,Basic,14,58,20031.44,14211.72,0,0,8,62,1,0
NG00033,21,Abuja,Basic,31,57,8943.38,12799.52,0,1,2,18,4,0
NG00034,42,Abuja,Premium,18,42,41481.1,2905.5,1,0,7,71,2,0
NG00035,31,Kano,Basic,7,8,6990.49,27640.17,1,0,3,7,1,0
NG00036,26,Kano,Premium,10,24,50205.02,59377.9,1,1,5,2,1,1
NG00037,43,Enugu,Premium,7,16,13728.55,41996.85,1,1,9,66,4,0
NG00038,19,Kano,Basic,33,49,12583.49,50283.12,1,1,5,85,0,0
NG00039,37,Kaduna,Business,23,26,2677.61,3808.42,1,0,2,80,1,0
NG00040,45,Enugu,Premium,21,27,26137.5,136170.0,0,0,4,16,4,0
NG00041,24,Kano,Basic,19,37,7192.69,82043.98,0,1,2,13,0,0
NG00042,25,Abuja,Basic,19,4,2624.19,73584.85,0,1,0,8,0,0
NG00043,52,Oyo,Basic,36,50,652.25,77918.13,0,1,6,61,2,0
NG00044,31,Oyo,Basic,29,24,10345.11,121443.8,1,0,3,20,4,0
NG00045,34,Enugu,Basic,18,19,9494.06,35361.88,1,0,6,75,0,0
NG00046,53,Kano,Premium,2,36,15747.92,10057.33,0,1,2,36,2,0
NG00047,21,Kaduna,Business,1,39,27015.48,43162.0,0,0,4,10,3,0
NG00048,19,Rivers,Premium,47,10,1492.84,61119.82,1,1,4,19,4,0
NG00049,23,Lagos,Basic,5,25,16278.7,60259.3,0,0,1,34,3,0
NG00050,21,Delta,Basic,20,18,2990.37,33164.66,1,1,9,52,0,0
NG00051,46,Kaduna,Basic,11,19,23938.11,3191.16,0,1,1,46,4,0
NG00052,35,Rivers,Basic,42,36,21015.31,20871.16,0,1,3,74,2,0
NG00053,43,Delta,Basic,2,10,9839.07,114091.09,0,0,3,51,0,0
NG00054,51,Rivers,Premium,3,33,15364.54,39516.74,0,1,3,7,4,0
NG00055,27,Rivers,Basic,23,55,5028.66,34780.91,1,1,5,3,4,0
NG00056,53,Enugu,Premium,12,50,8145.01,14091.37,1,0,1,26,3,0
NG00057,31,Oyo,Basic,20,5,21187.21,20680.94,1,1,5,43,0,0
NG00058,48,Lagos,Business,5,47,7877.92,101569.34,0,1,6,39,2,0
NG00059,32,Rivers,Premium,37,49,5814.23,49410.07,0,1,9,46,2,0
NG00060,25,Kano,Premium,38,35,8679.66,69672.68,1,1,2,43,0,0
NG00061,31,Delta,Basic,30,44,21640.53,27259.61,1,0,7,47,0,0
NG00062,40,Kaduna,Business,9,34,5399.37,44771.43,0,0,1,84,1,0
NG00063,38,Oyo,Premium,34,33,2790.46,12848.81,0,0,7,51,3,0
NG00064,33,Delta,Premium,44,55,15438.12,55005.45,1,1,4,83,0,0
NG00065,35,Enugu,Premium,35,21,21482.9,25106.38,0,1,1,67,0,0
NG00066,41,Kano,Premium,22,17,1772.83,26296.85,0,1,6,10,1,1
NG00067,43,Kano,Basic,44,22,3791.25,47154.95,0,0,1,76,1,0
NG00068,42,Rivers,Premium,24,48,2337.42,123896.99,0,0,5,72,4,0
NG00069,46,Kano,Premium,17,37,5631.45,2976.6,1,1,9,3,2,0
NG00070,32,Lagos,Basic,10,15,7681.7,78367.64,1,0,2,75,3,0
NG00071,18,Enugu,Basic,30,35,17079.33,15563.36,0,0,8,72,4,0
NG00072,42,Kano,Basic,46,28,13137.28,26407.9,0,1,2,76,0,0
NG00073,24,Rivers,Premium,23,7,12140.37,997.06,0,0,2,47,1,0
NG00074,26,Delta,Basic,32,32,5713.32,16117.67,0,0,4,25,2,0
NG00075,41,Enugu,Basic,17,11,22600.04,31429.06,0,0,6,76,4,0
NG00076,18,Kano,Basic,17,10,8147.72,2601.7,1,0,7,38,2,1
NG00077,25,Oyo,Premium,14,9,46918.91,30397.29,0,1,6,57,1,0
NG00078,41,Enugu,Basic,9,14,12566.12,117846.56,0,0,8,18,4,1
NG00079,28,Enugu,Premium,40,13,2119.73,5011.7,0,0,4,87,4,0
NG00080,34,Kaduna,Basic,2,57,14030.72,65060.67,0,0,9,82,2,0
NG00081,25,Oyo,Premium,45,25,5218.36,23718.39,0,1,2,76,1,0
NG00082,52,Oyo,Business,25,2,14412.86,47912.15,0,0,5,76,0,0
NG00083,52,Delta,Basic,39,35,1366.22,13564.12,1,1,4,57,4,0
NG00084,50,Abuja,Basic,9,7,2806.74,7818.71,0,0,3,27,0,1
NG00085,22,Kaduna,Premium,22,21,23733.43,7870.69,0,0,1,65,1,0
NG00086,45,Oyo,Basic,43,18,3592.5,3289.49,1,0,6,9,4,1
NG00087,24,Oyo,Basic,46,3,22271.09,9241.24,1,1,4,85,4,0
NG00088,26,Abuja,Premium,4,42,4429.99,49108.38,0,1,3,76,0,0
NG00089,25,Delta,Business,26,54,12856.27,96050.35,1,0,7,57,3,0
NG00090,29,Kaduna,Premium,29,39,14715.95,75720.81,0,1,8,72,0,0
NG00091,51,Oyo,Basic,45,41,9125.39,52002.41,0,1,8,13,0,0
NG00092,50,Rivers,Basic,34,49,4871.49,5265.86,0,0,2,83,3,0
NG00093,40,Delta,Basic,23,11,3368.9,15360.59,1,1,2,14,1,0
NG00094,41,Kaduna,Premium,37,39,905.03,16685.27,1,0,4,32,1,0
NG00095,54,Oyo,Premium,11,24,4847.94,12943.11,0,1,4,16,4,1
NG00096,52,Oyo,Business,6,46,13206.8,32562.81,0,1,9,23,2,0
NG00097,39,Abuja,Basic,18,19,33926.59,34510.93,1,1,1,29,2,0
NG00098,44,Kaduna,Premium,21,4,25094.35,19864.5,0,1,0,61,4,0
NG00099,52,Rivers,Basic,42,26,17932.53,19648.33,0,0,7,12,2,0
NG00100,18,Delta,Basic,36,38,19139.38,79357.33,1,1,2,61,0,0
NG00101,52,Kano,Premium,41,42,13622.96,70077.87,1,0,0,46,0,0
NG00102,54,Lagos,Basic,38,32,4117.91,16554.34,1,0,0,15,3,0
NG00103,31,Rivers,Premium,34,39,29027.06,110292.8,1,1,1,65,3,0
NG00104,20,Kano,Premium,17,45,13830.61,137415.58,0,1,5,80,4,0
NG00105,18,Rivers,Business,37,46,10363.79,17803.24,1,1,5,42,4,0
NG00106,22,Kaduna,Premium,25,36,1911.75,19692.62,1,0,2,7,4,0
NG00107,43,Kano,Premium,38,40,7609.97,31701.58,0,1,3,2,0,0
NG00108,31,Kaduna,Premium,12,37,7902.2,127452.04,0,1,1,11,2,0
NG00109,44,Kano,Basic,23,33,24491.04,94052.39,0,0,1,83,4,0
NG00110,26,Rivers,Basic,42,36,9993.04,4869.8,0,0,6,15,4,0
NG00111,32,Abuja,Premium,22,3,6244.18,22445.24,1,0,0,77,0,0
NG00112,32,Rivers,Premium,21,9,45663.41,36271.23,1,0,6,79,0,0
NG00113,43,Kaduna,Premium,27,8,1908.13,31474.43,0,1,0,58,0,0
NG00114,30,Rivers,Basic,31,33,7089.57,9697.57,0,1,5,48,2,0
NG00115,49,Enugu,Basic,6,59,1015.2,88096.35,1,1,2,62,4,0
NG00116,49,Enugu,Basic,27,6,16660.46,50846.38,0,1,7,61,1,0
NG00117,21,Kano,Premium,40,41,30523.64,81881.71,0,0,5,48,1,0
NG00118,47,Enugu,Premium,34,39,4442.67,88079.63,0,1,1,50,4,0
NG00119,54,Lagos,Premium,12,4,23952.05,62088.27,0,0,7,32,4,1
NG00120,40,Kano,Basic,45,13,4647.43,26028.44,0,1,4,29,4,0
NG00121,32,Enugu,Basic,7,49,29498.48,42435.52,0,0,7,58,4,1
NG00122,46,Oyo,Premium,10,2,17327.23,7865.48,0,1,7,75,2,1
NG00123,53,Rivers,Premium,45,5,20111.33,50389.69,0,0,5,14,1,0
NG00124,30,Delta,Basic,17,44,718.05,8889.33,0,0,1,81,3,0
NG00125,49,Rivers,Premium,26,27,40000.7,53280.25,0,1,7,22,1,0
NG00126,24,Enugu,Basic,21,32,16064.95,11737.94,1,0,5,77,1,0
NG00127,39,Abuja,Premium,28,21,4861.82,5627.46,1,1,5,44,0,0
NG00128,45,Kaduna,Premium,46,8,21720.83,8129.89,0,0,7,61,4,0
NG00129,19,Delta,Premium,2,38,4467.43,89.74,0,1,0,78,4,0
NG00130,23,Kano,Premium,43,8,25239.58,57081.35,1,0,1,70,4,0
NG00131,45,Abuja,Basic,1,50,1933.25,59321.96,0,0,8,14,0,1
NG00132,45,Rivers,Premium,36,3,15096.03,32556.1,0,0,7,45,2,1
NG00133,37,Enugu,Premium,26,54,9836.58,7918.97,1,0,6,63,2,0
NG00134,47,Kano,Premium,29,44,1718.21,3926.36,1,0,6,45,3,0
NG00135,28,Kano,Premium,21,58,3823.18,869.14,1,0,4,55,2,0
NG00136,45,Oyo,Basic,11,3,649.78,8154.9,0,0,1,43,2,0
NG00137,42,Oyo,Business,40,22,8090.68,99678.73,1,0,5,74,4,0
NG00138,50,Enugu,Premium,11,6,4801.81,12440.75,0,1,9,28,1,1
NG00139,18,Enugu,Basic,36,2,11446.31,19681.91,1,1,2,61,2,0
NG00140,44,Lagos,Premium,39,23,4732.84,5009.29,0,0,3,88,2,0
NG00141,30,Oyo,Basic,40,44,4778.71,11317.2,0,1,9,51,0,0
NG00142,20,Kaduna,Basic,35,2,16813.17,32955.98,1,1,1,53,3,0
NG00143,23,Delta,Basic,34,38,1092.08,42113.82,0,0,1,87,0,0
NG00144,25,Kano,Premium,47,17,28483.55,12667.69,0,1,7,56,4,0
NG00145,44,Oyo,Business,24,35,23447.93,2675.96,1,0,7,82,1,0
NG00146,26,Enugu,Premium,22,34,13724.39,22319.59,0,1,9,65,3,0
NG00147,54,Lagos,Premium,5,23,11293.84,12007.74,0,0,5,21,0,1
NG00148,50,Enugu,Basic,33,30,27241.15,11155.03,0,1,4,19,2,0
NG00149,41,Enugu,Basic,36,52,2959.67,144695.33,1,1,7,32,2,0
NG00150,32,Enugu,Basic,47,8,1487.14,43105.3,1,0,3,71,3,0
NG00151,49,Rivers,Premium,20,22,3785.51,36626.0,0,0,3,24,2,0
NG00152,49,Delta,Business,19,44,19492.28,24186.12,1,1,4,45,0,0
NG00153,41,Oyo,Basic,35,58,923.43,25212.09,0,0,0,72,0,0
NG00154,29,Kano,Premium,43,36,10990.47,35032.42,1,1,0,56,2,0
NG00155,19,Rivers,Business,17,5,65178.66,53646.41,0,1,1,86,2,0
NG00156,20,Enugu,Basic,45,13,23730.0,54501.85,0,1,7,4,4,1
NG00157,54,Kaduna,Premium,43,29,9343.83,8476.76,1,1,6,54,1,0
NG00158,34,Kano,Premium,34,31,1289.07,31201.77,0,1,9,60,3,0
NG00159,19,Rivers,Premium,9,47,21860.83,23893.07,0,1,8,88,0,0
NG00160,19,Kaduna,Basic,26,57,11464.88,91992.72,0,0,4,7,3,0
NG00161,45,Kaduna,Premium,2,55,1965.1,44914.26,1,0,1,15,4,0
NG00162,40,Delta,Premium,9,16,1682.7,34216.41,0,0,6,47,0,1
NG00163,54,Kano,Basic,9,42,29345.69,5517.61,0,1,7,60,4,0
NG00164,49,Oyo,Premium,40,30,13774.91,41871.86,0,1,6,14,4,0
NG00165,50,Oyo,Basic,17,57,21713.24,5609.75,0,0,6,64,2,0
NG00166,18,Lagos,Business,1,55,25841.48,18508.14,0,1,4,21,3,1
NG00167,36,Rivers,Premium,25,16,10677.2,6935.98,1,0,1,2,3,0
NG00168,19,Lagos,Premium,43,12,9243.96,53005.26,1,0,5,53,2,0
NG00169,43,Abuja,Basic,40,17,7254.43,10394.52,0,1,3,13,3,0
NG00170,49,Oyo,Basic,42,16,5074.19,22380.71,0,0,9,35,2,1
NG00171,23,Rivers,Basic,25,12,7342.58,101710.9,0,1,1,81,0,0
NG00172,49,Delta,Basic,39,8,18340.26,10284.91,0,0,8,81,4,0
NG00173,21,Lagos,Basic,35,20,11553.33,31899.62,1,1,6,66,4,0
NG00174,28,Delta,Premium,3,3,27265.77,24456.25,0,1,5,9,3,1
NG00175,34,Delta,Basic,37,16,7530.47,823.06,0,0,4,48,1,0
NG00176,41,Enugu,Premium,44,30,11710.08,70824.09,1,1,2,64,4,0
NG00177,22,Enugu,Basic,44,45,12473.51,3219.54,0,1,9,56,2,0
NG00178,51,Delta,Premium,30,23,11248.95,28932.26,1,0,9,26,1,0
NG00179,23,Lagos,Premium,38,28,15053.49,37013.55,0,0,3,74,1,0
NG00180,39,Enugu,Premium,34,51,3752.79,44550.38,1,1,2,4,4,0
NG00181,28,Abuja,Business,12,40,9118.23,52505.04,1,0,7,70,4,0
NG00182,33,Kaduna,Basic,19,54,1820.79,13142.47,1,0,2,82,4,0
NG00183,50,Kaduna,Basic,37,5,6324.06,451.3,1,0,6,56,2,0
NG00184,26,Enugu,Basic,44,20,8525.37,57840.33,0,0,6,14,1,0
NG00185,23,Lagos,Basic,17,40,13174.37,34520.89,0,1,6,75,3,0
NG00186,33,Kaduna,Premium,10,56,36576.92,81387.31,1,0,6,29,2,0
NG00187,46,Kano,Basic,47,44,11515.04,77514.37,0,0,1,19,0,0
NG00188,20,Kaduna,Premium,12,1,16831.91,83411.51,0,0,9,36,4,1
NG00189,37,Oyo,Basic,16,57,8969.1,29869.75,0,0,2,2,1,0
NG00190,53,Lagos,Business,24,30,12564.87,18265.85,0,1,9,72,2,0
NG00191,36,Enugu,Business,19,21,1382.88,70564.29,0,0,8,40,0,1
NG00192,43,Enugu,Basic,8,20,4022.66,27008.67,0,1,2,38,2,0
NG00193,20,Kaduna,Basic,31,6,5890.24,9119.59,1,0,1,25,2,0
NG00194,36,Lagos,Premium,21,22,8175.13,86887.91,0,0,8,1,3,1
NG00195,37,Abuja,Business,17,18,1060.68,96382.2,0,1,9,22,3,0
NG00196,49,Kano,Basic,23,8,2310.21,28257.29,0,0,8,22,2,0
NG00197,24,Enugu,Basic,37,39,4389.07,3542.32,0,1,3,84,0,0
NG00198,50,Lagos,Business,16,32,43207.99,22083.25,1,1,8,15,1,0
NG00199,35,Enugu,Premium,6,33,5329.88,73227.8,0,0,2,8,1,0
NG00200,18,Enugu,Basic,8,53,8394.31,104421.81,0,0,6,12,4,1
NG00201,28,Oyo,Premium,25,16,3119.33,10237.23,1,1,6,27,4,1
NG00202,45,Kaduna,Business,18,12,11823.33,3119.48,0,0,7,26,1,0
NG00203,42,Oyo,Premium,25,38,4453.44,94429.09,0,0,9,50,2,0
NG00204,40,Kaduna,Premium,12,52,3283.07,22199.46,0,0,3,63,2,0
NG00205,48,Enugu,Premium,15,34,9222.25,35116.39,1,0,2,51,3,0
NG00206,47,Lagos,Basic,26,14,566.25,154983.52,0,1,2,80,3,0
NG00207,52,Delta,Premium,41,36,592.32,3099.76,0,0,4,37,4,0
NG00208,24,Kaduna,Basic,45,33,3467.22,47026.26,0,0,0,64,1,0
NG00209,33,Delta,Business,26,23,948.95,3464.77,0,1,9,17,2,1
NG00210,43,Kano,Basic,47,50,1871.82,21183.94,0,0,2,62,1,0
NG00211,19,Oyo,Business,32,45,5465.49,73291.27,0,0,5,50,0,0
NG00212,18,Delta,Basic,10,2,19969.41,25570.31,0,1,2,8,1,0
NG00213,29,Oyo,Premium,16,41,10684.95,264233.41,1,0,4,12,0,0
NG00214,22,Kaduna,Basic,7,21,9125.71,36848.02,1,1,8,39,3,0
NG00215,54,Kaduna,Premium,17,2,4669.0,17431.78,0,1,1,54,3,0
NG00216,49,Kano,Premium,23,27,32715.59,11187.18,1,0,1,78,4,0
NG00217,26,Kaduna,Premium,26,57,6570.36,19421.28,0,1,5,42,1,0
NG00218,52,Enugu,Premium,21,9,1593.45,20972.91,0,0,5,43,1,0
NG00219,36,Kano,Basic,22,1,12018.73,3203.48,1,0,7,67,0,0
NG00220,33,Delta,Business,7,11,1950.27,20761.19,1,1,1,32,3,0
NG00221,20,Kaduna,Premium,14,3,5581.53,28082.98,1,1,8,23,0,0
NG00222,37,Lagos,Premium,15,52,8996.98,57725.62,0,0,1,35,3,0
NG00223,41,Rivers,Premium,7,23,25378.89,48115.64,1,1,0,9,0,0
NG00224,50,Abuja,Premium,9,26,8663.88,55513.22,0,1,9,19,3,1
NG00225,41,Enugu,Basic,8,4,15038.37,377.95,1,1,1,74,0,0
NG00226,28,Rivers,Premium,23,18,59732.19,11046.39,1,1,6,11,3,0
NG00227,25,Rivers,Premium,29,55,2191.7,48769.91,0,0,7,61,0,0
NG00228,53,Oyo,Business,18,6,4354.56,29773.26,1,0,4,17,1,0
NG00229,37,Enugu,Premium,31,35,6521.92,239.74,0,1,5,62,4,0
NG00230,52,Enugu,Basic,30,22,7074.61,73447.54,0,0,0,83,0,0
NG00231,42,Kano,Basic,39,43,6852.38,66688.5,0,1,5,24,4,0
NG00232,52,Oyo,Basic,35,15,29080.97,35775.04,0,0,7,11,1,0
NG00233,42,Delta,Basic,18,22,15522.53,3094.88,1,0,2,20,1,0
NG00234,46,Abuja,Premium,42,37,11735.02,65458.69,1,0,0,24,3,0
NG00235,35,Delta,Business,39,52,4941.86,39437.18,0,1,3,10,4,0
NG00236,35,Lagos,Basic,17,42,21332.97,68538.45,1,0,0,63,2,0
NG00237,19,Abuja,Basic,14,12,37729.26,62698.81,1,1,7,72,3,0
NG00238,52,Oyo,Business,31,47,21157.73,73105.29,0,0,4,49,4,0
NG00239,33,Kaduna,Premium,24,49,518.8,32842.26,1,0,0,61,0,0
NG00240,53,Kaduna,Premium,35,42,12640.46,6804.01,0,0,7,88,0,0
NG00241,50,Oyo,Premium,44,38,1129.87,50047.93,1,1,8,48,1,0
NG00242,21,Delta,Premium,45,18,4074.52,43597.42,0,0,9,13,2,1
NG00243,50,Oyo,Basic,34,45,1236.44,61009.99,0,0,1,0,0,0
NG00244,31,Oyo,Basic,3,35,11609.9,8378.38,0,0,8,80,4,1
NG00245,38,Rivers,Basic,37,30,14422.91,9759.7,1,0,7,24,4,0
NG00246,37,Lagos,Basic,43,24,1959.07,99495.21,0,1,6,58,0,0
NG00247,25,Enugu,Business,40,42,6310.96,62379.25,0,1,2,71,4,0
NG00248,24,Kaduna,Premium,26,30,7810.89,107480.4,0,0,1,68,4,0
NG00249,20,Rivers,Basic,23,14,6026.4,63980.0,1,1,6,4,1,0
NG00250,34,Oyo,Basic,44,6,2047.99,40914.19,0,1,4,18,2,0
NG00251,50,Kano,Basic,39,3,7014.98,47776.51,0,0,5,22,1,0
NG00252,29,Rivers,Premium,15,16,17192.21,98972.02,0,1,3,8,2,0
NG00253,39,Oyo,Premium,4,7,1383.86,38909.86,0,1,1,49,4,0
NG00254,39,Kaduna,Basic,29,52,1502.93,45033.13,1,0,8,15,2,0
NG00255,47,Enugu,Basic,22,14,5757.81,7657.55,1,0,2,32,4,0
NG00256,25,Oyo,Premium,25,9,34611.13,28903.69,0,1,6,1,4,0
NG00257,44,Lagos,Premium,13,15,13752.16,56708.11,0,1,7,13,1,0
NG00258,44,Delta,Basic,18,21,14123.44,14220.13,1,0,1,0,1,0
NG00259,51,Abuja,Premium,33,35,5891.5,10168.44,0,0,5,89,3,0
NG00260,38,Rivers,Premium,16,2,11306.8,16948.13,1,0,7,57,0,1
NG00261,47,Rivers,Basic,45,27,622.19,12438.6,1,1,6,88,3,0
NG00262,50,Rivers,Basic,42,2,12630.38,10888.21,1,1,2,15,3,0
NG00263,45,Oyo,Basic,44,35,29841.81,24890.66,0,1,0,78,2,0
NG00264,50,Enugu,Business,2,18,11878.75,107289.58,0,0,5,89,4,0
NG00265,22,Lagos,Business,35,14,25329.01,31831.52,1,1,7,46,4,0
NG00266,36,Enugu,Business,42,20,15947.08,9367.06,0,1,5,43,4,0
NG00267,21,Oyo,Premium,34,18,2041.62,3604.29,1,0,4,79,0,0
NG00268,52,Oyo,Premium,30,10,28429.09,53605.86,0,0,7,13,2,0
NG00269,34,Delta,Premium,13,25,1325.05,21715.21,1,1,1,23,2,0
NG00270,45,Kano,Business,13,2,9662.0,77626.01,0,1,0,54,4,0
NG00271,47,Lagos,Basic,18,25,2339.73,48481.73,0,0,0,14,3,0
NG00272,46,Rivers,Premium,32,54,641.31,71586.88,0,1,3,82,0,0
NG00273,23,Abuja,Premium,32,33,7078.89,14282.11,1,0,5,71,3,0
NG00274,52,Rivers,Premium,35,36,4695.38,53046.97,1,1,8,33,1,0
NG00275,54,Enugu,Basic,39,31,8486.4,13797.42,0,1,0,1,2,0
NG00276,41,Oyo,Premium,46,14,10830.27,125910.21,0,1,0,26,2,0
NG00277,46,Lagos,Premium,29,1,1036.69,45523.36,1,1,4,73,3,0
NG00278,48,Kaduna,Basic,29,46,2075.02,17654.38,0,1,9,86,0,0
NG00279,52,Lagos,Premium,44,16,10314.8,14131.9,0,0,4,71,2,0
NG00280,50,Lagos,Basic,16,54,5543.91,9533.95,0,1,4,22,3,0
NG00281,38,Kano,Business,44,46,16175.32,53382.02,0,0,9,67,0,0
NG00282,49,Rivers,Premium,47,52,13176.69,11106.72,0,0,5,13,3,0
NG00283,40,Kano,Premium,10,3,22918.84,40707.78,0,0,7,62,0,1
NG00284,50,Kaduna,Basic,30,35,14651.08,13832.48,0,0,2,64,4,0
NG00285,20,Kaduna,Basic,25,41,7243.98,48807.79,0,1,8,67,0,0
NG00286,35,Delta,Premium,39,6,13912.32,75918.32,0,0,0,62,1,0
NG00287,42,Enugu,Basic,20,25,4365.31,67733.62,0,1,3,89,4,0
NG00288,48,Abuja,Premium,5,13,4888.82,64380.14,0,1,8,80,3,0
NG00289,20,Delta,Basic,1,53,19169.92,9356.09,1,0,7,86,4,0
NG00290,41,Oyo,Premium,30,34,7596.18,4164.19,0,1,9,63,4,0
NG00291,49,Kano,Premium,3,8,19716.47,54021.38,0,0,8,31,3,1
NG00292,39,Kano,Basic,45,21,21240.17,20673.69,0,0,0,78,3,0
NG00293,40,Delta,Premium,14,34,23886.21,25480.96,0,1,8,12,1,1
NG00294,19,Oyo,Premium,30,4,30314.35,1424.0,0,0,2,65,3,0
NG00295,44,Lagos,Premium,4,25,7266.19,13523.98,0,0,9,18,2,1
NG00296,19,Oyo,Basic,18,15,5107.97,1541.54,1,1,8,23,2,1
NG00297,43,Rivers,Premium,37,4,10972.99,95107.56,0,1,0,87,1,0
NG00298,34,Delta,Basic,25,45,6066.78,12551.23,1,0,0,10,0,0
NG00299,50,Enugu,Basic,1,12,11527.76,36672.61,0,1,8,58,0,0
NG00300,26,Oyo,Basic,46,32,15173.21,1789.17,0,1,5,85,2,0
NG00301,46,Lagos,Premium,15,32,14492.61,49461.96,0,1,3,14,3,0
NG00302,43,Oyo,Basic,9,28,6131.46,17555.6,0,0,6,9,1,1
NG00303,52,Kano,Business,15,13,2690.65,102689.57,0,1,4,40,0,0
NG00304,42,Abuja,Basic,24,31,7256.58,98564.05,1,1,9,26,0,0
NG00305,41,Kano,Basic,4,14,2346.13,17706.3,0,1,6,59,4,0
NG00306,30,Enugu,Basic,12,20,26997.89,104050.82,1,1,7,72,2,0
NG00307,24,Kaduna,Basic,37,18,5593.53,250275.48,1,0,7,51,3,0
NG00308,53,Abuja,Premium,37,29,2513.35,78540.63,0,0,0,27,1,0
NG00309,37,Kaduna,Basic,43,6,809.33,83857.52,0,0,7,64,0,0
NG00310,18,Oyo,Basic,6,32,12955.48,12886.26,0,0,5,16,4,0
NG00311,25,Rivers,Basic,39,29,12657.0,38685.59,0,1,3,43,2,0
NG00312,33,Enugu,Basic,46,43,5497.18,3133.1,0,0,7,9,2,0
NG00313,31,Oyo,Basic,24,2,1392.96,4487.83,0,1,2,62,1,0
NG00314,29,Lagos,Premium,11,23,6824.05,306258.8,0,1,3,81,0,0
NG00315,40,Oyo,Premium,13,19,4973.96,17796.33,0,0,5,46,1,0
NG00316,32,Abuja,Premium,34,31,14065.72,62057.53,1,0,6,37,1,0
NG00317,45,Kano,Premium,25,51,11670.13,73949.9,1,1,3,69,4,0
NG00318,51,Rivers,Premium,7,5,5941.89,87844.15,1,1,3,75,2,0
NG00319,19,Kaduna,Business,4,19,3449.16,271986.62,0,0,6,52,3,0
NG00320,49,Oyo,Basic,8,34,53610.2,12438.35,0,0,5,77,2,0
NG00321,40,Oyo,Basic,20,10,7761.67,1853.44,0,1,7,43,2,1
NG00322,39,Kano,Basic,29,25,14487.58,23834.44,0,1,0,73,4,0
NG00323,42,Rivers,Basic,45,2,2317.59,6270.97,0,0,9,53,3,0
NG00324,39,Delta,Basic,46,11,8476.81,1020.65,1,1,6,19,0,0
NG00325,39,Kaduna,Premium,10,50,835.08,20112.94,1,0,6,78,3,0
NG00326,23,Oyo,Basic,43,31,8949.41,68906.96,0,0,6,30,0,0
NG00327,32,Oyo,Business,34,56,40396.64,37580.72,0,0,6,6,3,0
NG00328,54,Delta,Basic,26,15,6318.13,16879.4,0,0,9,57,1,1
NG00329,50,Kaduna,Basic,41,9,977.32,47803.75,0,0,9,9,3,1
NG00330,25,Abuja,Business,3,23,877.34,11879.51,0,0,7,9,4,1
NG00331,22,Abuja,Premium,6,19,6392.02,651.86,0,0,8,38,0,1
